Address,Asset,Start_Block,Status,End_Block
0xc50e0da985731bbb3e380ca9610c3c1dac2d1c1b,wbtc,18457752,repaid,18747529.0
0xc255e0a1be0a4b7b8bf5ebe8d0aba162cf75bae2,wsteth,17449819,repaid,17535594.0
0xc255e0a1be0a4b7b8bf5ebe8d0aba162cf75bae2,wsteth,17987095,repaid,18059212.0
0xc255e0a1be0a4b7b8bf5ebe8d0aba162cf75bae2,wsteth,19063507,repaid,19150283.0
0xc255e0a1be0a4b7b8bf5ebe8d0aba162cf75bae2,ll_0,19806411,repaid,19897853.0
0xb04e51df952ed99e57367b99790fadf525413d40,wsteth,17449911,repaid,17807092.0
0xb04e51df952ed99e57367b99790fadf525413d40,wsteth,18532178,repaid,18757746.0
0xb04e51df952ed99e57367b99790fadf525413d40,wbtc,18532162,repaid,18757678.0
0xb04e51df952ed99e57367b99790fadf525413d40,wbtc,19256040,repaid,19560340.0
0xb04e51df952ed99e57367b99790fadf525413d40,weth,19256059,self-liquidation,19468417.0
0xb0ef5c4f377b16ea666c59a6ef5f175298380aca,wsteth,17450079,repaid,17569652.0
0x9805b12b7c866209caab3f1331641fe2b8ecc689,wsteth,17450228,self-liquidation,17495466.0
0x0489c3c7a21ec09d744a1c2412a85692f5f42842,wsteth,17450281,repaid,17563430.0
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,wsteth,17450727,repaid,17522903.0
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,wsteth,17631576,repaid,18589310.0
0xaf0fdd39e5d92499b0ed9f68693da99c0ec1e92e,sfrxeth,19057547,repaid,19401011.0
0x9cc1bcea519e289ed39187dae6949ab99ca5c2af,wsteth,17450739,repaid,17507356.0
0x95c2c6e94804d07f2a37222b053cd5e22e5343df,wsteth,17451055,repaid,17542823.0
0x95c2c6e94804d07f2a37222b053cd5e22e5343df,wsteth,17542929,self-liquidation,18106958.0
0x23e34982662c3ee8f3059559be126fd2fa4b2430,wsteth,17451092,self-liquidation,17936833.0
0x2326d4fb2737666dda96bd6314e3d4418246cfe8,wsteth,17451252,repaid,17451617.0
0x2326d4fb2737666dda96bd6314e3d4418246cfe8,wsteth,18543981,repaid,18616248.0
0xe7542d5bb57b767ed5a17c6a80febe8779880644,wsteth,17451451,self-liquidation,18113239.0
0xe7542d5bb57b767ed5a17c6a80febe8779880644,wbtc,18591957,repaid,18626244.0
0xe7542d5bb57b767ed5a17c6a80febe8779880644,wbtc,18626304,repaid,18964675.0
0xe7542d5bb57b767ed5a17c6a80febe8779880644,weth,19249444,self-liquidation,19371292.0
0xade6dcc5236cc2bc7f7f62758fc98d06e041825e,wsteth,17451560,self-liquidation,17484168.0
0xade6dcc5236cc2bc7f7f62758fc98d06e041825e,wsteth,17484208,self-liquidation,18188923.0
0xb47ca176a3ea91ceddd0ef91053338462d18c7ff,wsteth,17452008,repaid,17822256.0
0xb47ca176a3ea91ceddd0ef91053338462d18c7ff,weth,19354020,repaid,19403943.0
0xa9a03e4f16c237edd2e5ba8bbc974c32ba5019cd,wsteth,17452271,forced-liquidation,17493546.0
0xa9a03e4f16c237edd2e5ba8bbc974c32ba5019cd,wsteth,17494656,repaid,17494738.0
0xa9a03e4f16c237edd2e5ba8bbc974c32ba5019cd,wsteth,17494774,self-liquidation,18129401.0
0x0513eb9528fdf3913e91d2534103bcc67254f158,wsteth,17452370,repaid,17458967.0
0x124d945f269b26fd80b3eb106a551f37bbfd2165,wsteth,17452387,repaid,17558870.0
0x124d945f269b26fd80b3eb106a551f37bbfd2165,wsteth,17803664,repaid,18507156.0
0x124d945f269b26fd80b3eb106a551f37bbfd2165,weth,18653997,active,
0xb6af7c04f67b5eb61f0dc7ac4a760888ec3e3887,wsteth,17452459,repaid,17834383.0
0x047f606fd5b2baa5f5c6c4ab8958e45cb6b054b7,wsteth,17452959,active,
0xefa95d76e680da5ed457a2f6c46fdab25cc750c2,wsteth,17454930,forced-liquidation,17480673.0
0xefa95d76e680da5ed457a2f6c46fdab25cc750c2,wsteth,17524972,repaid,17815998.0
0xefa95d76e680da5ed457a2f6c46fdab25cc750c2,wsteth,17929259,self-liquidation,17937370.0
0xefa95d76e680da5ed457a2f6c46fdab25cc750c2,wsteth,17937406,self-liquidation,18443665.0
0xefa95d76e680da5ed457a2f6c46fdab25cc750c2,wsteth,18448352,self-liquidation,18574753.0
0xefa95d76e680da5ed457a2f6c46fdab25cc750c2,weth,18574922,repaid,18588244.0
0x05025f9290b941478758523b1c06073cf30fc322,wsteth,17455240,forced-liquidation,17480675.0
0x05025f9290b941478758523b1c06073cf30fc322,wsteth,17487207,repaid,17635393.0
0x05025f9290b941478758523b1c06073cf30fc322,wsteth,17648674,repaid,17712726.0
0x05025f9290b941478758523b1c06073cf30fc322,wsteth,17726110,repaid,17904329.0
0x05025f9290b941478758523b1c06073cf30fc322,wsteth,18089598,repaid,18547291.0
0xb71ddd9c9edaf9ff760ff8990aecfd04b0bf105e,wsteth,17455242,self-liquidation,17490759.0
0xb71ddd9c9edaf9ff760ff8990aecfd04b0bf105e,wsteth,17531586,repaid,17609570.0
0xb71ddd9c9edaf9ff760ff8990aecfd04b0bf105e,wsteth,18417119,repaid,18588140.0
0xdf244d0fb0f83028623180e98edd0bb1ce5665d6,wsteth,17455668,repaid,17882770.0
0x939420fdc87ee8764c2199a05d269288951c3615,wsteth,17455962,forced-liquidation,17937667.0
0xebea790f7e5310900f94f383decd3906fbde0755,wsteth,17456034,forced-liquidation,17937665.0
0x5470f43f1a1b28c251878f02da98e2d7f1bee194,wsteth,17456112,forced-liquidation,18087275.0
0x834297b5b5ed849f63f459378575b0ac427ca368,wsteth,17456212,forced-liquidation,18360814.0
